t,theta1,omega1,theta2,omega2,x2,y2,energy
0.41,1.299390604,-3.606800829,-0.5822507672,1.072822673,0.4134897639,-1.103313026,1.314587411
0.415,1.281260533,-3.645352754,-0.5766917627,1.151148787,0.413122787,-1.123778434,1.314587417
0.42,1.26293574,-3.684706712,-0.5707355381,1.231719987,0.4127328835,-1.144524332,1.314587422
0.425,1.244411954,-3.724968066,-0.5643707221,1.314595996,0.412323547,-1.16554574,1.314587429
0.43,1.22568436,-3.766249133,-0.5575856231,1.399845424,0.4118985215,-1.186837168,1.314587436
0.435,1.206747564,-3.808669763,-0.550368182,1.48754682,0.4114618043,-1.20839258,1.314587444
0.44,1.187595551,-3.852358001,-0.5427059197,1.577789825,0.4110176498,-1.230205344,1.314587453
0.445,1.168221644,-3.897450837,-0.5345858787,1.670676427,0.4105705733,-1.252268181,1.314587463
0.45,1.148618457,-3.944095069,-0.5259945577,1.766322339,0.4101253554,-1.274573101,1.314587473
0.455,1.128777846,-3.992448271,-0.5169178394,1.864858518,0.4096870461,-1.29711134,1.314587485
0.46,1.108690845,-4.042679892,-0.5073409103,1.966432825,0.4092609697,-1.319873271,1.314587499
0.465,1.088347613,-4.094972503,-0.4972481714,2.071211863,0.4088527299,-1.34284832,1.314587513
0.47,1.067737358,-4.149523191,-0.4866231398,2.179382992,0.4084682146,-1.366024852,1.314587529
0.475,1.046848264,-4.20654513,-0.4754483393,2.291156548,0.4081136011,-1.389390051,1.314587547
0.48,1.025667404,-4.266269323,-0.4637051794,2.40676827,0.4077953606,-1.412929775,1.314587567
0.485,1.00418065,-4.328946542,-0.4513738223,2.526481951,0.4075202622,-1.436628386,1.314587589
0.49,0.9823725647,-4.394849443,-0.4384330347,2.650592305,0.4072953756,-1.460468557,1.314587612
0.495,0.9602262872,-4.464274869,-0.4248600264,2.779428028,0.4071280712,-1.484431037,1.314587638
0.5,0.9377234083,-4.537546287,-0.410630272,2.913355008,0.407026018,-1.508494383,1.314587665
0.505,0.9148438292,-4.615016323,-0.3957173169,3.052779605,0.4069971749,-1.532634641,1.314587693
0.51,0.8915656097,-4.697069262,-0.3800925669,3.19815182,0.4070497769,-1.556824961,1.314587722
0.515,0.8678648042,-4.784123359,-0.3637250624,3.34996813,0.4071923096,-1.581035158,1.31458775
0.52,0.8437152872,-4.876632656,-0.3465812411,3.508773552,0.4074334701,-1.605231168,1.314587775
0.525,0.819088571,-4.975087873,-0.3286246921,3.675162315,0.4077821071,-1.629374419,1.314587793
0.53,0.7939536239,-5.08001566,-0.3098159133,3.849776152,0.4082471337,-1.653421063,1.3145878
0.535,0.7682766975,-5.191975169,-0.290112086,4.033298719,0.4088373994,-1.677321073,1.314587788
0.54,0.7420211814,-5.311550341,-0.2694668906,4.226443899,0.4095615087,-1.70101715,1.314587745
0.545,0.7151475112,-5.439335542,-0.2478304044,4.429934656,0.4104275638,-1.724443429,1.314587657
0.55,0.6876131735,-5.575911054,-0.225149137,4.644467543,0.4114428029,-1.747523943,1.314587501
0.555,0.6593728668,-5.721803409,-0.2013662943,4.870655815,0.4126130968,-1.770170804,1.314587249
0.56,0.6303789148,-5.877423486,-0.1764223995,5.108941259,0.4139422537,-1.792282106,1.314586868
0.565,0.6005820625,-6.042972839,-0.1502564606,5.359461375,0.4154310663,-1.813739538,1.314586321
0.57,0.5699328462,-6.218306218,-0.1228079484,5.621855078,0.4170760236,-1.834405788,1.314585581
0.575,0.5383837873,-6.402736787,-0.09401993833,5.894988098,0.4188676004,-1.854121894,1.314584659
