t,theta1,omega1,theta2,omega2,x2,y2,energy
0.5650000000,0.0072920398,-0.3276918496,0.0809878741,-0.5222555089,0.0881913445,-1.9966956875,-28.9828921712
0.5700000000,0.0056620172,-0.3243117569,0.0783582712,-0.5295693936,0.0839400960,-1.9969155320,-28.9828921712
0.5750000000,0.0040489732,-0.3209010716,0.0756923469,-0.5367832290,0.0796690519,-1.9971285047,-28.9828921712
0.5800000000,0.0024530515,-0.3174633757,0.0729906146,-0.5438916622,0.0753788698,-1.9973343588,-28.9828921712
0.5850000000,0.0008743785,-0.3140022506,0.0702536148,-0.5508893689,0.0710702172,-1.9975328474,-28.9828921712
0.5900000000,-0.0006869379,-0.3105212734,0.0674819143,-0.5577710568,0.0667437715,-1.9977237236,-28.9828921712
0.5950000000,-0.0022308071,-0.3070240140,0.0646761064,-0.5645314708,0.0624002205,-1.9979067413,-28.9828921712
0.6000000000,-0.0037571568,-0.3035140314,0.0618368104,-0.5711653971,0.0580402615,-1.9980816555,-28.9828921712
0.6050000000,-0.0052659322,-0.2999948707,0.0589646718,-0.5776676679,0.0536646016,-1.9982482224,-28.9828921712
0.6100000000,-0.0067570961,-0.2964700594,0.0560603617,-0.5840331659,0.0492739576,-1.9984062003,-28.9828921712
0.6150000000,-0.0082306292,-0.2929431041,0.0531245766,-0.5902568289,0.0448690556,-1.9985553501,-28.9828921712
0.6200000000,-0.0096865294,-0.2894174866,0.0501580382,-0.5963336547,0.0404506314,-1.9986954352,-28.9828921712
0.6250000000,-0.0111248120,-0.2858966608,0.0471614930,-0.6022587055,0.0360194296,-1.9988262228,-28.9828921712
0.6300000000,-0.0125455097,-0.2823840487,0.0441357122,-0.6080271130,0.0315762039,-1.9989474837,-28.9828921712
0.6350000000,-0.0139486719,-0.2788830369,0.0410814909,-0.6136340830,0.0271217169,-1.9990589931,-28.9828921712
0.6400000000,-0.0153343650,-0.2753969727,0.0379996483,-0.6190749005,0.0226567399,-1.9991605312,-28.9828921712
0.6450000000,-0.0167026720,-0.2719291607,0.0348910266,-0.6243449341,0.0181820523,-1.9992518835,-28.9828921712
0.6500000000,-0.0180536924,-0.2684828584,0.0317564912,-0.6294396415,0.0136984421,-1.9993328415,-28.9828921712
0.6550000000,-0.0193875418,-0.2650612733,0.0285969298,-0.6343545737,0.0092067050,-1.9994032032,-28.9828921712
0.6600000000,-0.0207043516,-0.2616675583,0.0254132523,-0.6390853803,0.0047076445,-1.9994627733,-28.9828921712
0.6650000000,-0.0220042690,-0.2583048085,0.0222063900,-0.6436278145,0.0002020716,-1.9995113641,-28.9828921712
0.6700000000,-0.0232874564,-0.2549760572,0.0189772950,-0.6479777375,-0.0043091956,-1.9995487960,-28.9828921712
0.6750000000,-0.0245540912,-0.2516842719,0.0157269402,-0.6521311235,-0.0088253321,-1.9995748977,-28.9828921712
