t,theta1,omega1,theta2,omega2,x2,y2,energy
0.9850000000,-1.5506246040,-3.3481402908,0.6868141097,-2.7473532186,-0.3657197069,-0.7934403900,1.3145828966
0.9900000000,-1.5672386361,-3.2972596712,0.6729695110,-2.7900109680,-0.3766828586,-0.7855318712,1.3145828948
0.9950000000,-1.5835950957,-3.2451161599,0.6589187314,-2.8298301201,-0.3876557970,-0.7778562941,1.3145828930
1.0000000000,-1.5996877438,-3.1917404363,0.6446758926,-2.8668397925,-0.3986432592,-0.7704071800,1.3145828913
1.0050000000,-1.6155105018,-3.1371659229,0.6302549610,-2.9010730945,-0.4096497335,-0.7631779965,1.3145828897
1.0100000000,-1.6310574647,-3.0814285545,0.6156697277,-2.9325669417,-0.4206794383,-0.7561621862,1.3145828881
1.0150000000,-1.6463229128,-3.0245665518,0.6009337901,-2.9613618663,-0.4317363056,-0.7493531950,1.3145828867
1.0200000000,-1.6613013229,-2.9666201989,0.5860605343,-2.9875018259,-0.4428239658,-0.7427445009,1.3145828853
1.0250000000,-1.6759873777,-2.9076316276,0.5710631184,-3.0110340099,-0.4539457371,-0.7363296412,1.3145828840
1.0300000000,-1.6903759749,-2.8476446062,0.5559544570,-3.0320086469,-0.4651046159,-0.7301022407,1.3145828828
1.0350000000,-1.7044622349,-2.7867043345,0.5407472063,-3.0504788124,-0.4763032718,-0.7240560382,1.3145828817
1.0400000000,-1.7182415068,-2.7248572447,0.5254537503,-3.0665002381,-0.4875440441,-0.7181849116,1.3145828806
1.0450000000,-1.7317093750,-2.6621508084,0.5100861883,-3.0801311230,-0.4988289413,-0.7124829031,1.3145828797
1.0500000000,-1.7448616631,-2.5986333493,0.4946563227,-3.0914319469,-0.5101596434,-0.7069442419,1.3145828788
1.0550000000,-1.7576944384,-2.5343538620,0.4791756481,-3.1004652866,-0.5215375063,-0.7015633661,1.3145828779
1.0600000000,-1.7702040142,-2.4693618368,0.4636553416,-3.1072956343,-0.5329635685,-0.6963349427,1.3145828772
1.0650000000,-1.7823869522,-2.4037070897,0.4481062532,-3.1119892195,-0.5444385597,-0.6912538855,1.3145828765
1.0700000000,-1.7942400638,-2.3374395990,0.4325388978,-3.1146138334,-0.5559629111,-0.6863153723,1.3145828759
1.0750000000,-1.8057604103,-2.2706093467,0.4169634479,-3.1152386569,-0.5675367683,-0.6815148586,1.3145828754
1.0800000000,-1.8169453024,-2.2032661669,0.4013897270,-3.1139340911,-0.5791600042,-0.6768480910,1.3145828749
1.0850000000,-1.8277922996,-2.1354595983,0.3858272036,-3.1107715922,-0.5908322343,-0.6723111172,1.3145828745
1.0900000000,-1.8382992080,-2.0672387443,0.3702849871,-3.1058235084,-0.6025528324,-0.6679002949,1.3145828741
1.0950000000,-1.8484640776,-1.9986521374,0.3547718228,-3.0991629220,-0.6143209476,-0.6636122984,1.3145828738
1.1000000000,-1.8582851995,-1.9297476111,0.3392960893,-3.0908634944,-0.6261355215,-0.6594441233,1.3145828736
1.1050000000,-1.8677611022,-1.8605721763,0.3238657958,-3.0809993156,-0.6379953061,-0.6553930891,1.3145828734
1.1100000000,-1.8768905466,-1.7911719057,0.3084885801,-3.0696447578,-0.6498988822,-0.6514568401,1.3145828733
1.1150000000,-1.8856725217,-1.7215918234,0.2931717080,-3.0568743345,-0.6618446770,-0.6476333449,1.3145828732
1.1200000000,-1.8941062384,-1.6518758015,0.2779220723,-3.0427625637,-0.6738309831,-0.6439208930,1.3145828732
1.1250000000,-1.9021911243,-1.5820664637,0.2627461939,-3.0273838369,-0.6858559756,-0.6403180917,1.3145828732
1.1300000000,-1.9099268164,-1.5122050954,0.2476502220,-3.0108122941,-0.6979177304,-0.6368238594,1.3145828732
1.1350000000,-1.9173131550,-1.4423315610,0.2326399360,-2.9931217046,-0.7100142408,-0.6334374193,1.3145828733
1.1400000000,-1.9243501758,-1.3724842283,0.2177207478,-2.9743853541,-0.7221434346,-0.6301582905,1.3145828734
1.1450000000,-1.9310381025,-1.3026998998,0.2028977042,-2.9546759386,-0.7343031892,-0.6269862790,1.3145828736
1.1500000000,-1.9373773386,-1.2330137521,0.1881754901,-2.9340654658,-0.7464913477,-0.6239214670,1.3145828738
1.1550000000,-1.9433684596,-1.1634592812,0.1735584325,-2.9126251630,-0.7587057322,-0.6209642014,1.3145828740
